icd10code,symptoms
K11.8,"dry mouth, pain in salivary glands, swelling in salivary glands, difficulty swallowing, abnormal salivary gland secretion"
K11.9,"dry mouth, pain in salivary glands, swelling in glands, difficulty swallowing, bad taste in mouth"
K12.0,"mouth ulcers, pain in mouth, redness in mouth, difficulty eating, swollen mouth tissue"
K12.1,"mouth ulcers, painful sores, redness in the mouth, swelling, difficulty eating"
K12.2,"painful mouth ulcers, redness in the mouth, difficulty eating, swelling in the mouth, sensitivity to certain foods"
K12.3,"oral ulcers, pain in the mouth, difficulty eating, redness in the mouth, swollen oral tissues"
K13.0,"mouth ulcers, pain in oral mucosa, redness in oral tissue, difficulty eating, swollen oral mucosa"
K13.1,"mouth ulcers, painful sores, difficulty eating, swollen gums, red or inflamed oral mucosa"
K13.2,"white patches in mouth, oral mucosa sores, red or inflamed areas, thickened oral lesions, discomfort while eating or drinking"
K13.3,"white patches in mouth, oral soreness, burning sensation, difficulty eating, rough-textured patches"
K13.4,"oral pain, red patches in mouth, white plaques, mouth ulcers, difficulty swallowing"
K13.5,"white patches in mouth, tongue discomfort, mild pain, difficulty eating, oral burning sensation"
K13.6,"white patches in the mouth, mouth sores, painful oral lesions, redness in the mouth, swollen oral tissues"
K13.7,"oral pain, mouth ulcers, swelling, redness, difficulty chewing"
K14.0,"tongue swelling, redness, pain, ulcers, difficulty speaking"
K14.1,"tongue pain, tongue swelling, difficulty speaking, difficulty chewing, tongue redness"
K14.2,"tongue pain, redness on the tongue, tongue swelling, burning sensation, difficulty swallowing"
K14.3,"oral pain, tongue swelling, tongue redness, difficulty speaking, difficulty swallowing"
K14.4,"oral pain, tongue swelling, redness of tongue, difficulty swallowing, inflamed tongue"
K14.5,"oral pain, tongue swelling, redness, ulcers, difficulty eating"
K14.6,"tongue dryness, cracked tongue, burning sensation, difficulty swallowing, altered taste"
K14.8,"mouth pain, tongue swelling, difficulty swallowing, oral ulcers, red or white patches in the mouth"
K14.9,"mouth pain, tongue swelling, difficulty chewing, redness in the oral cavity, burning sensation"
K20,"heartburn, chest pain, difficulty swallowing, regurgitation, sensation of food stuck"
K21.0,"heartburn, acid regurgitation, chest pain, difficulty swallowing, chronic cough"
K21.9,"heartburn, acid reflux, chest discomfort, regurgitation, difficulty swallowing"
K22.0,"difficulty swallowing, chest pain, heartburn, food regurgitation, feeling of blockage"
K22.1,"heartburn, chest pain, difficulty swallowing, regurgitation of food, sensation of a lump in the throat"
K22.2,"chest pain, difficulty swallowing, heartburn, regurgitation, feeling of food stuck in throat"
K22.3,"dysphagia, chest pain, regurgitation, heartburn, weight loss"
K22.4,"chest pain, difficulty swallowing, heartburn, regurgitation, sensation of a lump in the throat"
K22.5,"chest pain, dysphagia, heartburn, regurgitation, odynophagia"
K22.6,"difficulty swallowing, chest pain, regurgitation, heartburn, weight loss"
K22.7,"dysphagia, chest pain, regurgitation, heartburn, weight loss"
K22.8,"difficulty swallowing, chest pain, heartburn, regurgitation, sore throat"
K22.9,"difficulty swallowing, chest pain, heartburn, regurgitation, nausea"
K23.0,"chest pain, difficulty swallowing, fever, cough, sore throat"
K23.1,"dysphagia, chest pain, heartburn, regurgitation, weight loss"
K23.8,"dysphagia, chest pain, odynophagia, cough, fatigue"
K25,"abdominal pain, nausea, vomiting, bloating, hematemesis"
K26,"abdominal pain, nausea, vomiting, melena, hematemesis"
K27,"abdominal pain, nausea, vomiting, gastrointestinal bleeding, bloating"
K28,"abdominal pain, nausea, vomiting, blood in stool, weight loss"
K29.0,"nausea, vomiting, abdominal pain, loss of appetite, gastric irritation"
K29.1,"abdominal pain, nausea, vomiting, bloating, loss of appetite"
K29.2,"abdominal pain, nausea, vomiting, loss of appetite, bloating"
K29.3,"epigastric pain, nausea, vomiting, bloating, indigestion"
K29.4,"nausea, vomiting, abdominal pain, bloating, indigestion"
K29.5,"nausea, vomiting, abdominal pain, bloating, indigestion"
K29.6,"abdominal pain, nausea, vomiting, bloating, indigestion"
K29.7,"nausea, vomiting, abdominal pain, bloating, loss of appetite"
K29.8,"abdominal pain, nausea, bloating, vomiting, indigestion"
K29.9,"abdominal pain, nausea, vomiting, bloating, indigestion"
K30,"abdominal pain, bloating, nausea, early satiety, belching"
K31.0,"abdominal pain, nausea, vomiting, weight loss, bloating"
K31.1,"abdominal pain, nausea, vomiting, bloating, feeling of fullness"
K31.2,"abdominal pain, nausea, vomiting, bloating, loss of appetite"
K31.3,"abdominal pain, nausea, vomiting, early satiety, unintentional weight loss"
K31.4,"abdominal pain, nausea, vomiting, bloating, early satiety"
K31.5,"abdominal pain, nausea, vomiting, bloating, difficulty swallowing"
K31.6,"abdominal pain, nausea, vomiting, bloating, early satiety"
K31.7,"abdominal pain, nausea, vomiting, bloating, early satiety"
K31.8,"abdominal pain, nausea, vomiting, bloating, loss of appetite"
K31.9,"abdominal pain, nausea, vomiting, bloating, unexplained weight loss"
K35.2,"abdominal pain, nausea, vomiting, fever, tenderness in the lower right abdomen"
K35.3,"abdominal pain, fever, nausea, vomiting, loss of appetite"
K35.8,"abdominal pain, nausea, vomiting, fever, loss of appetite"
K36,"right lower abdominal pain, fever, nausea, vomiting, rebound tenderness"
K37,"abdominal pain, nausea, vomiting, fever, loss of appetite"
K38.0,"abdominal pain, fever, nausea, vomiting, tenderness in the lower right abdomen"
K38.1,"abdominal pain, fever, nausea, vomiting, tenderness in lower abdomen"
K38.2,"abdominal pain, fever, nausea, vomiting, tenderness in the right lower abdomen"
K38.3,"abdominal pain, nausea, vomiting, fever, tenderness in the lower right abdomen"
K38.8,"abdominal pain, fever, nausea, vomiting, loss of appetite"
K38.9,"abdominal pain, nausea, fever, vomiting, tenderness in the lower abdomen"
K40.0,"groin pain, visible bulge in the groin, discomfort when lifting, aching sensation, bowel obstruction"
K40.1,"groin pain, bulging in groin area, discomfort when bending, nausea, heaviness in abdomen"
K40.2,"groin pain, swelling in the groin, bulge in the abdomen, discomfort when bending, nausea"
K40.3,"groin pain, swelling in the groin, bulge in the abdominal area, discomfort during lifting, nausea or vomiting"
K40.4,"groin bulge, groin pain, abdominal discomfort, nausea, vomiting"
K40.9,"groin pain, swelling in the groin, bulge in abdomen or groin, discomfort when lifting, nausea or vomiting"
K41.0,"groin bulge, groin pain, nausea, vomiting, abdominal discomfort"
K41.1,"groin bulge, groin pain, discomfort when lifting, nausea, swelling in groin area"
K41.2,"groin bulge, groin pain, nausea, vomiting, pressure in abdomen"
K41.3,"groin pain, bulge in groin area, nausea, abdominal discomfort, tenderness at the hernia site"
K41.4,"groin bulge, groin pain, nausea, vomiting, abdominal discomfort"
K41.9,"groin pain, bulge in the groin region, abdominal discomfort, nausea, vomiting"
K42.0,"abdominal pain, nausea, vomiting, bloating, constipation"
K42.1,"abdominal pain, swelling at the hernia site, nausea, vomiting, bowel obstruction symptoms"
K42.9,"abdominal pain, nausea, vomiting, swelling near the groin, difficulty passing stool"
K43.0,"abdominal swelling, pain at hernia site, nausea, vomiting, palpable bulge"
K43.1,"abdominal pain, nausea, vomiting, palpable lump, bloating"
K43.2,"abdominal pain, swelling at surgical site, nausea, vomiting, bulging in the abdominal area"
K43.3,"abdominal pain, nausea, vomiting, swelling at the hernia site, difficulty passing stool"
K43.4,"abdominal bulge, pain at hernia site, nausea, vomiting, tenderness in abdomen"
K43.5,"abdominal pain, bulging in the abdominal area, nausea, vomiting, constipation"
K43.6,"abdominal pain, nausea, vomiting, bulging lump, digestive discomfort"
K43.7,"abdominal pain, bulging in the abdomen, nausea, vomiting, tenderness at hernia site"
K43.9,"abdominal pain, swelling or bulging, nausea, vomiting, tenderness at the hernia site"
K44.0,"heartburn, chest pain, regurgitation, difficulty swallowing, nausea"
K44.1,"heartburn, chest pain, difficulty swallowing, regurgitation, nausea"
K44.9,"heartburn, chest pain, regurgitation, difficulty swallowing, nausea"
K45.0,"abdominal pain, nausea, vomiting, swelling in the abdomen, bowel obstruction symptoms"
K45.1,"abdominal pain, swelling, nausea, vomiting, bowel obstruction"
K45.8,"abdominal pain, nausea, vomiting, bloating, constipation"
K46.0,"abdominal pain, swelling in the abdomen, nausea, vomiting, constipation"
K46.1,"abdominal pain, nausea, vomiting, abdominal distention, inability to pass stool or gas"
K46.9,"abdominal pain, nausea, vomiting, swelling in the abdomen, constipation"
K50.0,"abdominal pain, diarrhea, weight loss, fatigue, blood in stool"
K50.1,"abdominal pain, diarrhea, weight loss, fatigue, rectal bleeding"
K50.8,"abdominal pain, diarrhea, fatigue, weight loss, rectal bleeding"
K50.9,"abdominal pain, diarrhea, weight loss, fatigue, rectal bleeding"
K51.0,"abdominal pain, diarrhea, weight loss, fatigue, rectal bleeding"
K51.2,"abdominal pain, diarrhea, bloody stools, weight loss, fatigue"
K51.3,"abdominal pain, diarrhea, rectal bleeding, fatigue, weight loss"
K51.4,"abdominal pain, diarrhea, rectal bleeding, weight loss, fatigue"
K51.5,"abdominal pain, diarrhea, rectal bleeding, weight loss, fatigue"
K51.8,"abdominal pain, diarrhea, rectal bleeding, weight loss, fatigue"
K51.9,"abdominal pain, diarrhea, rectal bleeding, weight loss, fatigue"
K52.0,"abdominal pain, diarrhea, nausea, vomiting, fatigue"
K52.1,"abdominal pain, diarrhea, nausea, vomiting, fever"
K52.2,"abdominal pain, diarrhea, nausea, vomiting, fatigue"
K52.3,"diarrhea, abdominal pain, nausea, vomiting, gastrointestinal bleeding"
K52.8,"abdominal pain, diarrhea, nausea, vomiting, fatigue"
K52.9,"abdominal pain, diarrhea, nausea, vomiting, fatigue"
K55.0,"abdominal pain, bloody diarrhea, nausea, vomiting, fever"
K55.1,"abdominal pain, bloody diarrhea, nausea, vomiting, fever"
K55.2,"abdominal pain, diarrhea, rectal bleeding, nausea, weight loss"
K55.3,"abdominal pain, diarrhea, blood in stool, fever, nausea"
K55.8,"abdominal pain, nausea, vomiting, diarrhea, blood in stool"
K55.9,"abdominal pain, bloody stools, diarrhea, nausea, vomiting"
K56.0,"abdominal pain, nausea, vomiting, bloating, constipation"
K56.1,"abdominal pain, bloating, nausea, vomiting, constipation"
K56.2,"abdominal pain, nausea, vomiting, bloating, constipation"
K56.3,"abdominal pain, nausea, vomiting, constipation, bloating"
K56.4,"abdominal pain, bloating, nausea, vomiting, constipation"
K56.5,"abdominal pain, bloating, nausea, vomiting, inability to pass gas"
K56.6,"abdominal pain, bloating, nausea, vomiting, constipation"
K56.7,"abdominal pain, constipation, vomiting, bloating, absence of bowel movements"
K57.0,"abdominal pain, rectal bleeding, diarrhea, constipation, bloating"
K57.1,"abdominal pain, bloating, changes in bowel habits, nausea, rectal bleeding"
K57.2,"abdominal pain, rectal bleeding, diarrhea, constipation, bloating"
K57.3,"abdominal pain, rectal bleeding, diarrhea, constipation, bloating"
K57.4,"abdominal pain, bloating, diarrhea, rectal bleeding, bowel obstruction"
K57.5,"abdominal pain, bloating, diarrhea, constipation, rectal bleeding"
K57.8,"abdominal pain, bloating, diarrhea, rectal bleeding, changes in bowel habits"
K57.9,"abdominal pain, bloating, constipation, diarrhea, rectal bleeding"
K58.1,"abdominal pain, bloating, diarrhea, flatulence, urgency to defecate"
K58.2,"abdominal pain, bloating, diarrhea, flatulence, urgency to defecate"
K58.3,"abdominal pain, bloating, diarrhea, urgency to defecate, cramping"
K58.8,"abdominal pain, bloating, diarrhea, constipation, urgency for bowel movements"
K59.0,"abdominal pain, bloating, constipation, difficulty passing stool, infrequent bowel movements"
K59.1,"abdominal bloating, irregular bowel movements, straining during defecation, infrequent stools, hard or lumpy stools"
K59.2,"constipation, abdominal pain, bloating, straining during bowel movements, incomplete evacuation"
K59.3,"abdominal pain, constipation, bloating, nausea, diarrhea"
K59.4,"constipation, abdominal pain, bloating, infrequent bowel movements, straining during defecation"
K59.8,"abdominal pain, bloating, constipation, diarrhea, irregular bowel movements"
K59.9,"abdominal pain, bloating, constipation, diarrhea, irregular bowel movements"
K60.0,"pain during bowel movements, bleeding, itching, irritation, swelling near the anus"
K60.1,"painful bowel movements, rectal bleeding, itching, perianal swelling, discomfort while sitting"
K60.2,"pain, bleeding, itching, swelling, discomfort"
K60.3,"pain in anal region, anal bleeding, swelling near anus, difficulty sitting, discomfort during bowel movements"
K60.4,"painful bowel movements, anal itching, rectal bleeding, swelling near anus, discharge from anus"
K60.5,"pain during bowel movements, itching near the anus, swelling around the anus, discomfort while sitting, bleeding after defecation"
K61.0,"pain in anal region, swelling near anus, redness, fever, drainage of pus"
K61.1,"pain, swelling, redness, warmth, drainage of pus"
K61.2,"painful swelling, redness, warmth, tenderness, drainage"
K61.3,"painful swelling, redness in the affected area, tenderness, fever, drainage of pus"
K61.4,"painful swelling in the anal area, redness around the rectum, fever, pus discharge, difficulty sitting"
K62.0,"rectal bleeding, blood in stool, anal discomfort, pain during defecation, mucous discharge"
K62.1,"rectal bleeding, blood in stool, anal pain, discomfort during bowel movements, rectal irritation"
K62.2,"rectal bleeding, blood in stool, anal discomfort, rectal pain, itching around anus"
K62.3,"rectal bleeding, bright red blood in stool, discomfort during bowel movements, rectal pain, bloody mucus in stool"
K62.4,"rectal bleeding, blood in stool, anal pain, anal itching, abnormal anal discharge"
K62.5,"rectal bleeding, pain during bowel movements, rectal itching, mucous discharge, sensation of incomplete evacuation"
K62.6,"rectal pain, bleeding, itching, swelling, discharge"
K62.7,"rectal pain, rectal bleeding, anal itching, tissue protrusion, rectal discomfort"
K62.8,"rectal bleeding, anal pain, itching, discharge, swelling"
K62.9,"rectal bleeding, anal pain, itching, swelling, discharge"
K63.0,"abdominal pain, bloating, diarrhea, blood in stool, weight loss"
K63.1,"abdominal pain, bloating, diarrhea, blood in stool, fatigue"
K63.2,"abdominal pain, rectal bleeding, mucus in stool, diarrhea, constipation"
K63.3,"abdominal pain, rectal bleeding, diarrhea, fatigue, weight loss"
K63.4,"abdominal pain, diarrhea, weight loss, fatigue, rectal bleeding"
K63.5,"abdominal pain, bloating, diarrhea, mucus in stool, rectal bleeding"
K63.8,"abdominal pain, bloating, diarrhea, rectal bleeding, changes in bowel habits"
K63.9,"abdominal pain, bloating, diarrhea, constipation, rectal bleeding"
K64.0,"painless rectal bleeding, itching or irritation in anal area, mild discomfort during bowel movements, small swelling near anus, stool leakage"
K64.1,"painless rectal bleeding, itching around the anus, swelling near the anus, discomfort during bowel movements, moist tissue protrusion"
K64.2,"painless rectal bleeding, anal itching, swelling or lump near anus, discomfort during bowel movements, soiling or leakage of stool"
K64.3,"itching, bleeding, pain, swelling, discomfort during bowel movements"
K64.4,"pain during bowel movements, rectal bleeding, itching around the anus, swollen rectal tissue, discomfort while sitting"
K64.5,"rectal bleeding, anal pain, itching, swelling around anus, lump near anus"
K64.8,"rectal bleeding, anal itching, pain during bowel movements, swelling near anus, mucus discharge"
K64.9,"rectal bleeding, itching, discomfort, swelling near anus, pain during bowel movements"
K65.0,"abdominal pain, fever, nausea, vomiting, tenderness in the abdomen"
K65.8,"abdominal pain, fever, nausea, vomiting, abdominal tenderness"
K65.9,"abdominal pain, fever, nausea, tenderness, increased white blood cell count"
K66.0,"abdominal pain, bloating, nausea, vomiting, reduced bowel movements"
K66.1,"abdominal pain, bloating, nausea, vomiting, constipation"
K66.2,"abdominal pain, bloating, nausea, vomiting, constipation"
K66.8,"abdominal pain, bloating, nausea, vomiting, constipation"
K66.9,"abdominal pain, bloating, nausea, vomiting, abdominal distension"
K67.0,"fever, abdominal pain, nausea, vomiting, loss of appetite"
K67.1,"abdominal pain, fever, chills, fatigue, weight loss"
K67.2,"abdominal pain, fever, nausea, vomiting, tenderness in the abdomen"
K67.3,"abdominal pain, fever, nausea, chills, tenderness in the abdomen"
K67.8,"fever, abdominal pain, nausea, vomiting, fatigue"
K70.0,"fatigue, jaundice, nausea, abdominal pain, loss of appetite"
K70.1,"abdominal pain, jaundice, nausea, vomiting, fatigue"
K70.2,"fatigue, abdominal pain, jaundice, nausea, swelling in legs"
K70.3,"abdominal pain, jaundice, nausea, fatigue, ascites"
K70.4,"abdominal pain, fatigue, jaundice, nausea, swelling in legs"
K70.9,"abdominal pain, nausea, fatigue, jaundice, loss of appetite"
K71.0,"abdominal pain, jaundice, nausea, vomiting, fatigue"
K71.1,"jaundice, abdominal pain, nausea, vomiting, fatigue"
K71.2,"abdominal pain, jaundice, nausea, fatigue, dark urine"
K71.3,"abdominal pain, jaundice, nausea, vomiting, fatigue"
K71.4,"abdominal pain, jaundice, fatigue, nausea, dark urine"
K71.5,"jaundice, abdominal pain, nausea, fatigue, dark urine"
K71.6,"abdominal pain, jaundice, nausea, vomiting, dark urine, fatigue"
K71.7,"abdominal pain, jaundice, nausea, fatigue, dark urine"
K71.8,"abdominal pain, nausea, vomiting, jaundice, fatigue"
K71.9,"abdominal pain, jaundice, fatigue, nausea, vomiting"
K72.0,"jaundice, fatigue, nausea, abdominal pain, confusion"
K72.1,"jaundice, fatigue, abdominal pain, confusion, nausea"
K72.9,"fatigue, jaundice, abdominal pain, nausea, confusion"
K73.0,"fatigue, abdominal pain, jaundice, nausea, loss of appetite"
K73.1,"fatigue, jaundice, abdominal pain, nausea, loss of appetite"
K73.2,"fatigue, abdominal pain, jaundice, nausea, dark urine"
K73.8,"fatigue, jaundice, abdominal pain, nausea, dark urine"
K73.9,"fatigue, jaundice, abdominal discomfort, nausea, loss of appetite"
K74.0,"fatigue, jaundice, abdominal pain, ascites, confusion"
K74.1,"hepatomegaly, jaundice, fatigue, abdominal pain, pruritus"
K74.2,"fatigue, jaundice, abdominal pain, swelling in legs, nausea"
K74.3,"liver fibrosis symptoms: fatigue, abdominal pain, jaundice, swelling in legs, confusion"
K74.4,"fatigue, jaundice, abdominal discomfort, swelling in legs, confusion"
K74.5,"fatigue, jaundice, abdominal pain, swelling in legs, dark urine"
K74.6,"liver fibrosis, jaundice, fatigue, abdominal pain, swelling in legs"
K75.0,"fever, abdominal pain, jaundice, fatigue, nausea"
K75.1,"fatigue, jaundice, abdominal pain, fever, nausea"
K75.2,"right upper quadrant pain, fatigue, jaundice, fever, nausea"
K75.3,"right upper quadrant pain, fever, jaundice, fatigue, nausea"
K75.4,"fever, fatigue, jaundice, abdominal pain, nausea"
K75.8,"fever, fatigue, jaundice, abdominal pain, nausea"
K75.9,"abdominal pain, fatigue, jaundice, nausea, dark urine"
K76.0,"fatigue, jaundice, abdominal pain, nausea, enlarged liver"
K76.1,"abdominal pain, fatigue, nausea, jaundice, swollen abdomen"
K76.2,"abdominal pain, ascites, jaundice, fatigue, enlarged liver"
K76.3,"abdominal pain, jaundice, ascites, fatigue, hepatomegaly"
K76.4,"fatigue, jaundice, abdominal pain, nausea, dark urine"
K76.5,"fatigue, jaundice, abdominal pain, nausea, swollen legs"
K76.6,"fatigue, jaundice, abdominal pain, nausea, swelling in legs"
K76.7,"fatigue, abdominal pain, jaundice, nausea, swelling in legs or abdomen"
K76.8,"abdominal pain, fatigue, nausea, jaundice, unexplained weight loss"
K76.9,"abdominal pain, fatigue, jaundice, nausea, unexplained weight loss"
K77.0,"abdominal pain, nausea, vomiting, jaundice, fatigue"
K77.8,"abdominal pain, fatigue, jaundice, nausea, vomiting"
K80.0,"right upper quadrant pain, nausea, vomiting, jaundice, fever"
K80.1,"abdominal pain, nausea, vomiting, jaundice, fever with chills"
K80.2,"abdominal pain, nausea, vomiting, jaundice, fever"
K80.3,"abdominal pain, nausea, vomiting, jaundice, fever"
K80.4,"right upper abdominal pain, nausea, vomiting, jaundice, fever"
K80.5,"right upper quadrant pain, nausea, vomiting, fever, jaundice"
K80.8,"abdominal pain, nausea, vomiting, jaundice, fever"
K81.0,"right upper quadrant pain, fever, nausea, vomiting, abdominal tenderness"
K81.1,"abdominal pain, fever, nausea, vomiting, localized tenderness"
K81.8,"abdominal pain, fever, nausea, vomiting, tenderness in the upper right abdomen"
K81.9,"abdominal pain, fever, nausea, vomiting, tenderness in upper right abdomen"
K82.0,"abdominal pain, nausea, vomiting, jaundice, fever"
K82.1,"abdominal pain, jaundice, nausea, vomiting, fever"
K82.2,"abdominal pain, jaundice, nausea, vomiting, fever"
K82.3,"abdominal pain, jaundice, nausea, vomiting, fever"
K82.4,"abdominal pain, jaundice, nausea, vomiting, bile duct obstruction"
K82.8,"abdominal pain, jaundice, nausea, vomiting, digestive discomfort"
K82.9,"abdominal pain, nausea, jaundice, vomiting, indigestion"
K83.0,"abdominal pain, jaundice, nausea, vomiting, fever"
K83.1,"abdominal pain, jaundice, fever, nausea, vomiting"
K83.2,"abdominal pain, jaundice, fever, nausea, vomiting"
K83.3,"right upper quadrant pain, jaundice, nausea, vomiting, fever"
K83.4,"abdominal pain, nausea, fever, jaundice, clay-colored stools"
K83.5,"abdominal pain, jaundice, fever, nausea, vomiting"
K83.8,"abdominal pain, jaundice, nausea, vomiting, fever"
K83.9,"abdominal pain, jaundice, nausea, vomiting, fever"
K85.0,"acute abdominal pain, nausea, vomiting, fever, elevated pancreatic enzymes"
K85.1,"abdominal pain, nausea, vomiting, fever, elevated pancreatic enzymes"
K85.2,"abdominal pain, nausea, vomiting, fever, elevated pancreatic enzymes"
K85.3,"abdominal pain, nausea, vomiting, fever, jaundice"
K85.8,"abdominal pain, nausea, vomiting, fever, elevated blood enzyme levels"
K85.9,"abdominal pain, nausea, vomiting, fever, elevated pancreatic enzymes"
K86.0,"abdominal pain, nausea, vomiting, weight loss, elevated blood sugar"
K86.1,"abdominal pain, nausea, vomiting, weight loss, fatty stools"
K86.2,"abdominal pain, nausea, vomiting, weight loss, fatty stools"
K86.3,"abdominal pain, nausea, vomiting, weight loss, fatty stool"
K86.8,"abdominal pain, nausea, vomiting, weight loss, digestive issues"
K86.9,"abdominal pain, nausea, vomiting, weight loss, jaundice"
K87.0,"nausea, abdominal pain, vomiting, fever, jaundice"
K87.1,"abdominal pain, jaundice, nausea, fever, weight loss"
K90.0,"malabsorption, diarrhea, weight loss, fatigue, bloating"
K90.1,"diarrhea, abdominal pain, bloating, fatigue, malnutrition"
K90.2,"malabsorption, diarrhea, weight loss, fatigue, bloating"
K90.3,"chronic diarrhea, weight loss, fatigue, bloating, abdominal pain"
K90.4,"diarrhea, abdominal bloating, weight loss, fatigue, malnutrition"
K90.8,"malabsorption, diarrhea, abdominal pain, weight loss, fatigue"
K90.9,"malabsorption, diarrhea, weight loss, fatigue, abdominal pain"
K91.0,"nausea, vomiting, abdominal pain, diarrhea, fever"
K91.1,"abdominal pain, nausea, vomiting, diarrhea, fever"
K91.2,"abdominal pain, fever, nausea, vomiting, signs of infection"
K91.3,"abdominal pain, nausea, vomiting, diarrhea, fever"
K91.4,"abdominal pain, nausea, vomiting, diarrhea, gastrointestinal bleeding"
K91.5,"abdominal pain, nausea, vomiting, diarrhea, bowel obstruction"
K91.8,"abdominal pain, diarrhea, nausea, vomiting, bloating"
K91.9,"abdominal pain, nausea, vomiting, diarrhea, fever"
K92.0,"vomiting blood, bloody stool, black tarry stool, dizziness, fatigue"
K92.1,"blood in stool, black tarry stool, rectal bleeding, fatigue, abdominal pain"
K92.2,"blood in stool, black tarry stool, vomiting blood, anemia, abdominal pain"
K92.8,"abdominal pain, rectal bleeding, nausea, vomiting, unexplained weight loss"
K92.9,"abdominal pain, nausea, vomiting, blood in stool, unintentional weight loss"
K93.0,"abdominal pain, nausea, vomiting, bloating, diarrhea"
K93.1,"abdominal pain, nausea, vomiting, diarrhea, weight loss"
K93.8,"abdominal pain, bloating, nausea, diarrhea, weight loss"
L00,"blistering skin, redness, itching, pus-filled lesions, skin peeling"
L01.0,"redness, swelling, warmth, pain, pus-filled blisters"
L01.1,"red swollen skin, pain, warmth, pus, fever"
L02.0,"redness, swelling, warmth, pain, pus drainage"
L02.1,"redness, swelling, pain, warmth, pus formation"
L02.2,"swelling, redness, pain, warmth, pus drainage"
L02.3,"painful skin lesion, redness, warmth, swelling, fluid drainage"
L02.4,"redness, pain, swelling, warmth, purulent discharge"
L02.8,"red, swollen skin, pain at site, pus formation, fever, warmth around the area"
L02.9,"painful skin lump, redness, swelling, warmth, pus discharge"
L03.0,"redness, swelling, warmth, tenderness, pain"
L03.1,"erythema, warmth, swelling, pain or tenderness, fever"
L03.2,"swelling, redness, warmth, tenderness, pain"
L03.3,"swelling, redness, warmth in the affected area, tenderness, fever"
L03.8,"pain, swelling, redness, warmth, tenderness"
L03.9,"redness, swelling, warmth, pain, fever"
L04.0,"swelling, pain, redness, warmth, tenderness"
L04.1,"swelling, redness, warmth, pain, tenderness"
L04.2,"swelling, redness, warmth, tenderness, pain"
L04.3,"swelling, redness, warmth, pain, tenderness in the affected area"
L04.8,"swelling, redness, pain, warmth, tenderness"
L04.9,"swelling, redness, tenderness, warmth, pain"
L05.0,"localized swelling, redness, pain, tenderness, fluctuation"
L05.9,"swelling, redness, pain, warmth, fever"
L08.0,"redness, swelling, pain, warmth, pus formation"
L08.1,"redness, swelling, warmth, pain, pus drainage"
L08.8,"redness, swelling, pain, warmth, discharge"
L08.9,"redness, swelling, warmth, tenderness, pus discharge"
L10.0,"blisters, skin redness, itching, burning sensation, peeling skin"
L10.1,"blisters, erosions, skin tenderness, oral ulcers, itching"
L10.2,"blisters, oral sores, skin lesions, itchy rashes, painful skin"
L10.3,"blisters, itching, redness, oral sores, skin pain"
L10.4,"blisters, oral ulcers, skin erosions, itching, burning sensation"
L10.5,"oral ulcers, skin blisters, itching, redness, fatigue"
L10.8,"blisters, oral ulcers, skin erosions, itching, pain"
L10.9,"blisters, sores, itching skin, swollen gums, painful lesions"
L11.0,"itchy skin, blisters, plaques, red patches, inflammation"
L11.1,"blisters, itching, redness, pain, crusting"
L11.8,"pruritus, blistering, skin thickening, hyperkeratosis, scaly patches"
L11.9,"itching, skin lesions, thickened skin, scaling, discoloration of skin"
L12.0,"blisters, itching, redness, burning sensation, pain"
L12.1,"blistering skin eruptions, itching, red skin, crusting sores, oral lesions"
L12.2,"blisters, itching, redness, erosions, crusting"
L12.3,"blisters, itching, burning sensation, redness, skin erosions"
L12.8,"blistering, itching, rash, redness, pain"
L12.9,"blistering rash, itching, redness, burning sensation, skin erosion"
L13.0,"blisters, itching, burning sensation, red skin patches, skin ulcerations"
L13.1,"blistering skin, itchiness, red patches, lesions, oral blisters"
L13.8,"blisters, red rash, itching, burning sensation, fluid-filled lesions"
L13.9,"itchiness, blistering, skin redness, swelling, skin lesions"
L14,"redness, swelling, pain, blisters, itching"
L20.0,"itching, redness, dry skin, thickened skin, scaly patches"
L20.8,"itching, redness, inflammation, rash, dry skin"
L20.9,"itching, redness, dry skin, thickened skin, inflammation"
L21.0,"flaky scalp, itching, red skin, oily skin patches, skin irritation"
L21.1,"flaky scalp, itchy skin, redness, greasy scales, dandruff"
L21.8,"scaly skin, itching, redness, dandruff, flaking"
L21.9,"itchiness, redness, flaky skin, oily skin, dandruff"
L22,"redness, itching, scaling, irritation, inflammation"
L23.0,"itching, redness, rash, swelling, blistering"
L23.1,"redness, itching, blistering, swelling, skin rash"
L23.2,"itching, redness, swelling, blistering, rash"
L23.3,"redness, itching, rash, blisters, swelling"
L23.4,"itchiness, redness, swelling, blistering, dry patches"
L23.5,"redness, itching, blistering, swelling, dry skin"
L23.6,"itching, redness, swelling, blistering, dry skin"
L23.7,"redness, itching, swelling, blistering, skin rash"
L23.8,"itching, redness, swelling, rash, dry or scaly skin"
L23.9,"itching, redness, swelling, blistering, skin rash"
L24.0,"redness, itching, swelling, blistering, dry skin"
L24.1,"erythema, itching, rash, vesicles, dryness"
L24.2,"itching, redness, blisters, scaling, swelling"
L24.3,"redness, itching, dry skin, rash, blistering"
L24.4,"red rash, itching, blisters, dry skin, burning sensation"
L24.5,"itching, redness, swelling, blisters, dry skin"
L24.6,"redness, itching, swelling, blistering, dryness"
L24.7,"itching, redness, swelling, blistering, dry skin"
L24.8,"itching, redness, blistering, swelling, burning sensation"
